timestamp_ms,ecg_u8_raw,ecg_counts_raw_int,ecg_counts_filt_monitor,ecg_counts_filt_diagnostic,ecg_counts_filt_st
1769250030908,131,3,3.5085105209630743,5.085457444480426,4.599559780040383
1769250030912,131,3,3.9808246619108343,5.400451611097364,5.048473262270368
1769250030916,131,3,4.143469322843407,4.893341718880009,5.1853748183671655
1769250030920,131,3,3.999773274867348,4.6317549936321125,5.016415365357673
1769250030924,131,3,3.608297950924626,4.402195544941284,4.602472694652013
1769250030928,130,2,2.980290206046165,4.046229640148807,3.953868350436733
1769250030932,129,1,2.089087883280586,3.2326084481476753,3.0411260263913036
1769250030936,128,0,0.9662035934163288,1.8213212843679425,1.894330672532985
1769250030940,127,-1,-0.2496798085398874,0.5645441834576221,0.6533921702232597
1769250030944,126,-2,-1.3860429812907018,-0.7657345433136511,-0.5070732309377615
1769250030948,124,-4,-2.364278194072126,-1.9018429634185603,-1.50806535463677
1769250030952,124,-4,-3.247443623854797,-2.073007750482808,-2.414344488460017
1769250030956,123,-5,-4.155666522342865,-3.0453523588670945,-3.34747557369714
1769250030960,122,-6,-5.138252870609074,-4.784915352764688,-4.355788078679981
1769250030964,121,-7,-6.129458201864313,-5.592973694686497,-5.37125077092321
1769250030968,120,-8,-7.008751893441246,-6.246891302521779,-6.272717183705733
1769250030972,119,-9,-7.678896294699774,-6.9612932758884565,-6.964783339665298
1769250030976,119,-9,-8.09262784738983,-7.32071157246294,-7.402179442656607
1769250030980,119,-9,-8.244597366322733,-7.7450311789296675,-7.579590806875265
1769250030984,119,-9,-8.173024962422778,-7.78840828355484,-7.533808117292963
1769250030988,119,-9,-7.970205184013057,-7.26147437132932,-7.356084636919722
1769250030992,119,-9,-7.766960476098914,-7.144775032037379,-7.177339693118054
1769250030996,119,-9,-7.680789190540455,-7.342062863856539,-7.115636086298482
1769250031000,119,-9,-8.508501546651095,-13.62043994433118,-13.399679380372651
1769250031004,119,-9,-8.452020458685055,-13.226359924270383,-13.354861458574977
1769250031008,119,-9,-8.442589982690142,-13.791339557512275,-13.375373987125933
1769250031012,118,-10,-8.759403897983823,-14.485814370132276,-13.70983766634794
1769250031016,119,-9,-9.327070590746096,-13.791977772134226,-14.26109128824581
1769250031020,119,-9,-9.205248703555272,-13.213625453742464,-14.094394941909677
1769250031024,122,-6,-6.540866640066053,-10.573470620622327,-11.38546441943791
1769250031028,128,0,0.5777027428222992,-4.398180139930981,-4.251144198283471
1769250031032,138,10,12.520620620819637,5.195586875917941,7.672292664227365
1769250031036,152,24,26.792265583049915,19.684492892691154,21.906101471392155
